Country,Country Code,Year,PC1,PC2,Cluster,ClusterLabels,hover_text
Algeria,DZA,2019.0,4.013697941324016,-2.028808444750653,1,Petrostates,"<b>Algeria</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $34,841,633,626<br>  Natural Gas: $13,234,530,581<br>  Gold: $3,143,000"
Angola,AGO,2019.0,0.6241775557527408,-2.8636900953489763,0,Oil Exporters,"<b>Angola</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $33,289,163,839<br>  Gold: $1,032,700"
Azerbaijan,AZE,2019.0,4.569470154314197,-0.14800907588143164,1,Petrostates,"<b>Azerbaijan</b><br>Cluster: 1<br><br>Top Resources:<br>  Oil: $17,877,989,348<br>  Natural Gas: $3,643,505,770<br>  Gold: $175,020,200"
Bahrain,BHR,2019.0,7.15079320819605,-1.4743586261221187,1,Petrostates,"<b>Bahrain</b><br>Cluster: 1<br><br>Top Resources:<br>  Natural Gas: $2,475,754,075<br>  Aluminium: $1,911,007,000<br>  Oil: $1,500,450,010"
Bolivia,BOL,2019.0,1.1746980694677545,3.5043149308695343,3,Mining Exporters,"<b>Bolivia</b><br>Cluster: 3<br><br>Top Resources:<br>  Natural Gas: $2,297,526,538<br>  Gold: $1,887,596,000<br>  Zinc: $1,449,775,100"
Burkina Faso,BFA,2019.0,-5.057048539685142,-0.12718203762192504,2,Forestry Intensive,"<b>Burkina Faso</b><br>Cluster: 2<br><br>Top Resources:<br>  Gold: $2,312,350,000<br>  Zinc: $261,974,140<br>  Silver: $3,942,400"
Cameroon,CMR,2019.0,-0.992788251482,-2.5204985863103557,0,Oil Exporters,"<b>Cameroon</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $1,674,149,053<br>  Aluminium: $96,460,000<br>  Gold: $20,205,000"
Chad,TCD,2019.0,-0.5615719609368132,-2.8592374943680867,0,Oil Exporters,"<b>Chad</b><br>Cluster: 0<br><br>Top Resources:<br>  Oil: $3,163,314,999"
Chile,CHL,2019.0,-4.246807582239076,6.713884076095547,3,Mining Exporters,"<b>Chile</b><br>Cluster: 3<br><br>Top Resources:<br>  Copper: $35,650,384,000<br>  Gold: $1,726,629,500<br>  Iron ore: $1,438,124,135"
"Congo, Dem. Rep.",COD,2019.0,-3.8551721946158546,1.3390051035735628,2,Forestry Intensive,"<b>Congo, Dem. Rep.</b><br>Cluster: 2<br><br>Top Resources:<br>  Copper: $9,000,523,840<br>  Cobalt: $2,954,824,230<br>  Gold: $1,930,700,000"
